Episode,Epsilon,Total_Reward,Marauders,End_Loop,Reason,Is_Bottom_Right
642,0.527,31,0,13440,Timeout,False
643,0.526,221,0,13440,Timeout,True
644,0.526,31,0,13440,Timeout,False
645,0.525,111,0,13440,Timeout,False
646,0.524,31,0,13440,Timeout,False
647,0.524,181,0,13440,Timeout,True
648,0.523,31,0,13440,Timeout,True
649,0.523,221,0,13440,Timeout,False
650,0.522,-8,0,13440,Timeout,False
651,0.522,71,0,13440,Timeout,True
652,0.521,671,0,13440,Timeout,False
653,0.521,221,1,13440,Timeout,False
654,0.520,221,1,13440,Timeout,True
655,0.520,181,1,13440,Timeout,True
656,0.519,221,1,13440,Timeout,True
657,0.519,31,0,13440,Timeout,True
658,0.518,181,0,13440,Timeout,False
659,0.518,111,0,13440,Timeout,True
660,0.517,331,2,13440,Timeout,False
661,0.517,411,0,13440,Timeout,False
662,0.516,31,0,13440,Timeout,False
663,0.516,371,2,13440,Timeout,False
664,0.515,261,1,13440,Timeout,True
665,0.515,1281,5,13280,Target_Reached,True
666,0.514,31,0,13440,Timeout,False
667,0.514,-8,0,13440,Timeout,False
668,0.513,331,2,13440,Timeout,False
669,0.513,641,2,13440,Timeout,False
670,0.512,671,4,13440,Timeout,False
671,0.512,-8,0,13440,Timeout,False
672,0.511,31,0,13440,Timeout,True
673,0.511,221,1,13440,Timeout,False
674,0.510,31,0,13440,Timeout,False
675,0.509,31,0,13440,Timeout,True
676,0.509,111,0,13440,Timeout,True
