Episode,Timestamp,Reward,PolicyLoss,ValueLoss,Loss,Entropy,LR
538,14:59:31,104.49,-0.000000,26.093058,26.043272,0.9957,9.84e-05
539,14:59:37,103.96,0.000000,17.679411,17.630468,0.9788,9.84e-05
540,14:59:42,71.82,0.000000,16.186966,16.137352,0.9923,9.84e-05
541,14:59:50,82.46,0.000000,14.697777,14.648499,0.9856,9.84e-05
542,14:59:55,103.98,0.000000,23.717506,23.667635,0.9974,9.84e-05
543,15:00:01,104.46,-0.000000,17.869223,17.819777,0.9889,9.84e-05
544,15:00:07,75.42,-0.000000,14.921407,14.872124,0.9857,9.84e-05
545,15:00:12,96.56,-0.000000,16.750275,16.700911,0.9873,9.84e-05
546,15:00:18,116.09,-0.000000,26.363808,26.314104,0.9941,9.84e-05
547,15:00:24,62.82,-0.000000,13.588470,13.538600,0.9974,9.84e-05
541,15:54:33,128.92,0.000000,29.267904,29.218119,0.9957,9.84e-05
542,15:54:41,106.47,0.000000,20.286785,20.237003,0.9957,9.84e-05
543,15:54:49,94.03,-0.000000,13.826584,13.776460,1.0025,9.84e-05
544,15:54:55,102.32,-0.000000,17.944611,17.895334,0.9855,9.84e-05
545,15:55:01,103.53,0.000000,20.528801,20.478844,0.9991,9.84e-05
546,15:55:07,92.87,-0.000000,17.110922,17.061556,0.9873,9.84e-05
547,15:55:14,104.86,0.000000,21.251528,21.201826,0.9941,9.84e-05
548,15:55:19,81.31,0.000000,10.549273,10.499741,0.9906,9.84e-05
549,15:55:25,84.49,-0.000000,17.183525,17.133907,0.9924,9.84e-05
550,15:55:30,124.64,-0.000000,24.699621,24.649666,0.9991,9.84e-05
551,15:55:42,104.94,-0.000000,15.253441,15.203316,1.0025,9.83e-05
552,15:55:48,113.56,-0.000000,23.466398,23.416779,0.9924,9.83e-05
553,15:55:53,115.11,-0.000000,23.671379,23.621340,1.0008,9.83e-05
554,15:55:59,83.01,0.000000,11.100474,11.050688,0.9957,9.83e-05
555,15:56:07,107.25,0.000000,24.505129,24.455509,0.9924,9.83e-05
556,15:56:12,74.4,0.000000,12.039069,11.989622,0.9889,9.83e-05
557,15:56:18,102.92,0.000000,20.526125,20.476845,0.9856,9.83e-05
558,15:56:24,103.55,0.000000,15.396288,15.347010,0.9856,9.83e-05
559,15:56:30,83.86,-0.000000,10.104598,10.055144,0.9891,9.83e-05
560,15:56:36,115.05,0.000000,19.931715,19.881336,1.0076,9.83e-05
561,15:56:43,104.15,0.000000,20.972963,20.924278,0.9737,9.83e-05
562,15:56:49,96.63,0.000000,21.129280,21.080086,0.9839,9.83e-05
563,15:56:54,83.04,0.000000,15.037759,14.987551,1.0042,9.83e-05
564,15:57:00,82.99,0.000000,11.461177,11.412405,0.9754,9.83e-05
565,15:57:06,112.52,0.000000,21.398010,21.348475,0.9907,9.83e-05
566,15:57:12,81.95,-0.000000,9.121460,9.071933,0.9906,9.83e-05
567,15:57:18,75.46,-0.000000,13.371389,13.321772,0.9924,9.83e-05
568,15:57:23,113.58,-0.000000,18.090302,18.040600,0.9940,9.83e-05
569,15:57:29,93.87,0.000000,14.816156,14.767216,0.9788,9.83e-05
570,15:57:35,129.1,0.000000,23.441858,23.392410,0.9890,9.83e-05
571,15:57:44,102.87,0.000000,16.947538,16.898348,0.9838,9.83e-05
572,15:57:51,84.39,0.000000,14.448988,14.398608,1.0076,9.83e-05
573,15:57:57,103.42,0.000000,16.107462,16.057592,0.9974,9.83e-05
574,15:58:03,84.43,-0.000000,14.473871,14.424086,0.9957,9.83e-05
575,15:58:09,114.59,0.000000,24.385096,24.335142,0.9991,9.83e-05
576,15:58:15,105.49,-0.000000,15.963210,15.913253,0.9991,9.83e-05
577,15:58:21,107.66,-0.000000,22.303888,22.254526,0.9872,9.83e-05
578,15:58:28,116.07,0.000000,22.469194,22.420090,0.9821,9.83e-05
579,15:58:34,102.03,0.000000,16.666138,16.617367,0.9754,9.83e-05
580,15:58:40,102.03,0.000000,18.028362,17.978743,0.9924,9.83e-05
581,15:58:50,112.44,0.000000,18.872267,18.823071,0.9839,9.83e-05
582,15:58:55,92.55,0.000000,17.342636,17.293276,0.9872,9.83e-05
583,15:59:01,95.05,0.000000,18.208981,18.159534,0.9889,9.83e-05
584,15:59:07,85.45,-0.000000,9.923826,9.874206,0.9924,9.82e-05
585,15:59:13,73.34,-0.000000,13.789010,13.739223,0.9958,9.82e-05
586,15:59:19,97.34,0.000000,15.323401,15.274884,0.9703,9.82e-05
587,15:59:25,104.53,0.000000,19.572674,19.522804,0.9974,9.82e-05
588,15:59:31,84.0,0.000000,12.976924,12.927985,0.9788,9.82e-05
589,15:59:37,75.48,0.000000,13.600996,13.551546,0.9890,9.82e-05
590,15:59:42,97.05,0.000000,16.289835,16.240219,0.9923,9.82e-05
591,15:59:52,95.44,-0.000000,20.503504,20.454229,0.9855,9.82e-05
592,15:59:57,116.56,-0.000000,25.405142,25.354849,1.0059,9.82e-05
593,16:00:03,80.88,-0.000000,11.380362,11.330153,1.0042,9.82e-05
594,16:00:09,106.54,0.000000,19.968145,19.918865,0.9856,9.82e-05
595,16:00:15,104.51,0.000000,20.985519,20.935308,1.0042,9.82e-05
596,16:00:21,85.48,0.000000,17.795500,17.745377,1.0025,9.82e-05
597,16:00:27,85.03,-0.000000,13.827696,13.778160,0.9907,9.82e-05
598,16:00:33,107.04,0.000000,17.341692,17.291740,0.9990,9.82e-05
599,16:00:39,88.85,0.000000,16.643450,16.594095,0.9871,9.82e-05
600,16:00:45,102.98,0.000000,23.496038,23.446926,0.9822,9.82e-05
601,16:00:54,91.48,0.000000,14.804284,14.754837,0.9889,9.82e-05
602,16:01:00,59.68,0.000000,13.200624,13.150839,0.9957,9.82e-05
603,16:01:05,105.04,0.000000,21.343277,21.293575,0.9940,9.82e-05
604,16:01:10,81.33,0.000000,13.128926,13.079816,0.9822,9.82e-05
605,16:01:16,82.94,-0.000000,17.352825,17.303041,0.9957,9.82e-05
606,16:01:21,72.49,0.000000,15.379662,15.330045,0.9923,9.82e-05
607,16:01:27,95.4,-0.000000,15.484428,15.435064,0.9873,9.82e-05
608,16:01:32,108.14,0.000000,19.110111,19.060493,0.9924,9.82e-05
609,16:01:38,117.57,0.000000,22.530415,22.480547,0.9973,9.82e-05
610,16:01:43,82.92,0.000000,11.789275,11.739572,0.9941,9.82e-05
611,16:02:00,106.49,0.000000,19.471241,19.421961,0.9856,9.82e-05
612,16:02:06,115.6,0.000000,27.059523,27.010077,0.9889,9.82e-05
613,16:02:11,70.31,0.000000,15.552889,15.503695,0.9839,9.82e-05
614,16:02:17,124.71,-0.000000,28.266535,28.216831,0.9941,9.82e-05
615,16:02:23,108.98,0.000000,20.446787,20.397253,0.9907,9.82e-05
616,16:02:29,103.98,-0.000000,18.898222,18.848181,1.0008,9.82e-05
617,16:02:36,115.04,0.000000,28.143316,28.093109,1.0041,9.81e-05
618,16:02:41,113.99,-0.000000,24.097395,24.047609,0.9957,9.81e-05
619,16:02:47,117.14,-0.000000,27.475323,27.425451,0.9974,9.81e-05
620,16:02:52,107.92,-0.000000,20.090410,20.041130,0.9856,9.81e-05
621,16:03:00,105.0,0.000000,20.570990,20.521206,0.9957,9.81e-05
622,16:03:05,116.15,0.000000,24.385630,24.335844,0.9957,9.81e-05
623,16:03:11,92.93,0.000000,17.740599,17.691235,0.9873,9.81e-05
624,16:03:17,115.1,0.000000,24.130926,24.081223,0.9941,9.81e-05
625,16:03:23,95.4,0.000000,13.784228,13.734444,0.9957,9.81e-05
626,16:03:29,116.56,-0.000000,20.147730,20.098623,0.9821,9.81e-05
627,16:03:36,101.51,-0.000000,22.122974,22.073189,0.9957,9.81e-05
628,16:03:41,123.94,0.000000,22.245903,22.195608,1.0059,9.81e-05
