Episode,Timestamp,Reward,PolicyLoss,ValueLoss,Loss,Entropy
2025,2026-03-29 09:48:51,63.23,1.748402951307071e-07,11.21349811553955,5.557886600494385,9.772462844848633
2026,2026-03-29 09:48:59,60.65,4.7683720083568915e-08,14.453597068786621,7.178458213806152,9.668038368225098
2027,2026-03-29 09:49:06,62.28,1.5894572413799324e-07,11.930907249450684,5.917155742645264,9.659589767456055
2028,2026-03-29 09:49:14,56.47,-9.536744016713783e-08,10.985535621643066,5.443367958068848,9.880013465881348
2029,2026-03-29 09:49:21,52.99,1.5894572769070692e-08,9.285037994384766,4.593437194824219,9.816324234008789
2030,2026-03-29 09:49:28,55.83,-1.748402951307071e-07,11.654475212097168,5.7786407470703125,9.719386100769043
2031,2026-03-29 09:49:40,60.82,1.4305115314527939e-07,11.256295204162598,5.579127788543701,9.803990364074707
2032,2026-03-29 09:49:47,60.06,1.5894572413799324e-07,10.128480911254883,5.0155510902404785,9.737842559814453
2033,2026-03-29 09:49:55,61.75,-2.2252402231970336e-07,10.072421073913574,4.987837791442871,9.67455768585205
2034,2026-03-29 09:50:03,59.37,-9.536744016713783e-08,9.361102104187012,4.631717681884766,9.766626358032227
2035,2026-03-29 09:50:10,52.34,4.7683720083568915e-08,10.430095672607422,5.165655136108398,9.878521919250488
2036,2026-03-29 09:50:17,61.47,-1.5894572769070692e-08,9.04067325592041,4.472039222717285,9.659505844116211
2037,2026-03-29 09:50:25,63.25,-6.357829107628277e-08,9.373476028442383,4.6384196281433105,9.6636323928833
2038,2026-03-29 09:50:34,60.22,-4.7683720083568915e-08,9.397806167602539,4.649953365325928,9.789974212646484
2039,2026-03-29 09:50:42,57.3,1.5894572769070692e-08,9.21833324432373,4.560482501983643,9.73685359954834
2040,2026-03-29 09:50:49,51.58,-4.7683720083568915e-08,8.759679794311523,4.330845832824707,9.79878044128418
2041,2026-03-29 09:51:00,64.1,-1.1126201115985168e-07,11.527013778686523,5.715327739715576,9.635798454284668
2042,2026-03-29 09:51:07,49.3,5.960464477539063e-08,9.666903495788574,4.786423206329346,9.405750274658203
2043,2026-03-29 09:51:15,61.32,-2.2252402231970336e-07,10.050637245178223,4.977179527282715,9.627811431884766
2044,2026-03-29 09:51:23,59.6,-0.0,10.013920783996582,4.958694934844971,9.653060913085938
2045,2026-03-29 09:51:30,63.01,-0.0,11.083809852600098,5.493884563446045,9.604084014892578
2046,2026-03-29 09:51:37,64.34,-4.7683720083568915e-08,11.913695335388184,5.908935546875,9.582446098327637
2047,2026-03-29 09:51:44,19.04,2.2252402231970336e-07,19.1483211517334,9.527873992919922,9.257285118103027
2048,2026-03-29 09:51:51,60.01,3.1789145538141383e-08,10.992549896240234,5.44793176651001,9.668644905090332
2049,2026-03-29 09:51:58,67.84,2.066294513269895e-07,11.262163162231445,5.583500385284424,9.516226768493652
2050,2026-03-29 09:52:07,63.17,6.357829107628277e-08,11.55095100402832,5.727928638458252,9.509374618530273
2051,2026-03-29 09:52:19,63.51,-7.947286206899662e-08,12.383757591247559,6.143857002258301,9.604374885559082
2052,2026-03-29 09:52:27,59.1,-1.1126201115985168e-07,11.266253471374512,5.585975646972656,9.430191040039062
2053,2026-03-29 09:52:34,58.47,-8.742014756535355e-08,12.799389839172363,6.35215950012207,9.507041931152344
2054,2026-03-29 09:52:42,57.66,-4.7683720083568915e-08,18.194162368774414,9.04965877532959,9.484566688537598
2055,2026-03-29 09:52:49,58.4,-0.0,13.642778396606445,6.773682117462158,9.541417121887207
2056,2026-03-29 09:52:57,62.84,7.947286206899662e-08,13.254430770874023,6.579435348510742,9.556055068969727
2057,2026-03-29 09:53:04,62.33,1.2715658215256553e-07,12.717199325561523,6.31093168258667,9.533604621887207
2058,2026-03-29 09:53:13,60.02,3.6557517546498275e-07,11.807328224182129,5.855872631072998,9.558353424072266
2059,2026-03-29 09:53:21,68.52,-9.536744016713783e-08,11.98131275177002,5.943253993988037,9.48047924041748
2060,2026-03-29 09:53:28,60.07,3.1789145538141383e-08,11.53554916381836,5.719766616821289,9.6015625
2061,2026-03-29 09:53:39,66.64,2.2252402231970336e-07,12.775381088256836,6.340218544006348,9.494383811950684
2062,2026-03-29 09:53:47,63.77,-1.5894572769070692e-08,11.494956970214844,5.699819564819336,9.531750679016113
2063,2026-03-29 09:53:55,60.53,-9.536744016713783e-08,10.862869262695312,5.384002685546875,9.486353874206543
2064,2026-03-29 09:54:02,62.92,-1.9073488033427566e-07,12.143794059753418,6.024171352386475,9.545158386230469
2065,2026-03-29 09:54:10,67.29,-6.357829107628277e-08,12.30090618133545,6.103149890899658,9.460606575012207
2066,2026-03-29 09:54:19,68.69,-4.7683720083568915e-08,11.80753231048584,5.8564534187316895,9.462543487548828
2067,2026-03-29 09:54:28,59.81,-4.7683720083568915e-08,12.498496055603027,6.201617240905762,9.526110649108887
2068,2026-03-29 09:54:35,61.83,-2.5431316430513107e-07,10.333161354064941,5.1189069747924805,9.534608840942383
2069,2026-03-29 09:54:43,66.29,-2.2252402231970336e-07,13.318933486938477,6.612317085266113,9.42993450164795
2070,2026-03-29 09:54:50,61.87,1.5894572769070692e-08,11.006643295288086,5.455972671508789,9.469826698303223
2071,2026-03-29 09:55:03,64.98,-4.7683720083568915e-08,12.108262062072754,6.007047653198242,9.416656494140625
2072,2026-03-29 09:55:11,65.66,3.1789145538141383e-08,12.36592960357666,6.135978698730469,9.397187232971191
2073,2026-03-29 09:55:18,62.94,3.1789145538141383e-08,11.955646514892578,5.9306488037109375,9.434915542602539
2074,2026-03-29 09:55:25,58.55,-1.5894572769070692e-08,11.135184288024902,5.520288944244385,9.46066951751709
2075,2026-03-29 09:55:32,67.33,-4.7683720083568915e-08,12.576823234558105,6.2415771484375,9.36686897277832
2076,2026-03-29 09:55:39,57.46,6.357829107628277e-08,12.990675926208496,6.448129653930664,9.44163990020752
2077,2026-03-29 09:55:46,69.83,3.1789145538141383e-08,13.518356323242188,6.712429046630859,9.34980297088623
2078,2026-03-29 09:55:52,66.26,-1.5894572769070692e-08,13.344480514526367,6.625276565551758,9.392772674560547
2079,2026-03-29 09:56:00,63.27,-1.2715658215256553e-07,12.876483917236328,6.3913254737854,9.383318901062012
2080,2026-03-29 09:56:08,38.31,-9.536744016713783e-08,16.226478576660156,8.066933631896973,9.26107406616211
2081,2026-03-29 09:56:20,67.74,9.536744016713783e-08,12.995987892150879,6.451106071472168,9.377599716186523
2082,2026-03-29 09:56:26,68.39,6.357829107628277e-08,13.138208389282227,6.522425174713135,9.335846900939941
