Episode,Reward,Loss,Entropy,LR
419,32.27,0.1123,8.3176,0.0003
420,10.29,-0.2524,8.3176,0.0003
421,28.15,-0.1327,8.3176,0.0003
422,5.93,-0.04,8.3176,0.0003
423,20.42,0.108,8.3176,0.0003
424,19.53,-0.4781,8.3176,0.0003
425,18.22,0.5995,8.3176,0.0003
426,18.69,0.1009,8.3176,0.0003
427,18.43,0.0188,8.3176,0.0003
428,11.96,-0.0439,8.3176,0.0003
429,8.45,-0.2801,8.3176,0.0003
430,19.33,0.7943,8.3176,0.0003
431,9.14,0.6459,8.3176,0.0003
432,7.74,0.1035,8.3176,0.0003
433,17.81,-0.3552,8.3176,0.0003
434,12.97,0.2611,8.3176,0.0003
435,18.9,0.2318,8.3176,0.0003
436,25.25,0.5745,8.3175,0.0003
437,10.55,0.3404,8.3175,0.0003
438,15.31,1.413,8.3174,0.0003
439,8.5,0.0131,8.3175,0.0003
440,14.01,-0.0051,8.3175,0.0003
441,25.85,1.8916,8.3175,0.0003
442,13.93,-0.1128,8.3175,0.0003
443,8.09,0.2479,8.3176,0.0003
444,19.18,0.2122,8.3175,0.0003
445,25.33,0.0984,8.3175,0.0003
446,6.7,0.0376,8.3175,0.0003
447,6.79,-0.2446,8.3175,0.0003
448,29.6,0.0225,8.3174,0.0003
449,16.52,-0.1854,8.3175,0.0003
450,18.57,-0.2994,8.3176,0.0003
451,29.23,0.56,8.3176,0.0003
452,19.3,-0.2866,8.3176,0.0003
453,17.1,0.0983,8.3176,0.0003
454,21.72,1.3227,8.3176,0.0003
455,19.8,-0.2197,8.3175,0.0003
456,11.13,0.3864,8.3175,0.0003
457,5.05,0.3502,8.3175,0.0003
458,12.42,-0.0439,8.3176,0.0003
459,16.46,-0.3408,8.3176,0.0003
460,37.88,1.3252,8.3176,0.0003
461,22.69,0.0252,8.3176,0.0003
462,17.95,0.0483,8.3176,0.0003
463,21.43,-0.0648,8.3176,0.0003
464,16.48,0.2241,8.3176,0.0003
465,20.9,0.1304,8.3176,0.0003
466,10.95,0.8886,8.3176,0.0003
467,18.7,0.3453,8.3176,0.0003
468,28.59,-0.0472,8.3176,0.0003
469,15.46,0.016,8.3176,0.0003
470,6.15,0.2892,8.3176,0.0003
471,15.89,0.3326,8.3176,0.0003
472,14.3,-0.0816,8.3176,0.0003
473,36.09,0.7694,8.3176,0.0003
