Time,Minerals,Vespene,Workers,Ideal,Action
6128.0,3145,0,17,16,REASSIGN_IDLE
6144.0,3155,0,17,16,REASSIGN_IDLE
6160.0,3160,0,17,16,REASSIGN_IDLE
6176.0,3170,0,17,16,REASSIGN_IDLE
6192.0,3185,0,17,16,REASSIGN_IDLE
6208.0,3190,0,17,16,REASSIGN_IDLE
6224.0,3205,0,17,16,REASSIGN_IDLE
6240.0,3215,0,17,16,REASSIGN_IDLE
6256.0,3225,0,17,16,REASSIGN_IDLE
6272.0,3240,0,17,16,REASSIGN_IDLE
6288.0,3245,0,17,16,REASSIGN_IDLE
6304.0,3255,0,17,16,REASSIGN_IDLE
6320.0,3270,0,17,16,REASSIGN_IDLE
6336.0,3280,0,17,16,REASSIGN_IDLE
6352.0,3285,0,17,16,REASSIGN_IDLE
6368.0,3295,0,17,16,REASSIGN_IDLE
6384.0,3310,0,17,16,REASSIGN_IDLE
6400.0,3315,0,17,16,REASSIGN_IDLE
6416.0,3330,0,17,16,REASSIGN_IDLE
6432.0,3335,0,17,16,REASSIGN_IDLE
6448.0,3350,0,17,16,REASSIGN_IDLE
6464.0,3365,0,17,16,REASSIGN_IDLE
6480.0,3365,0,17,16,REASSIGN_IDLE
6496.0,3380,0,17,16,REASSIGN_IDLE
6512.0,3385,0,17,16,REASSIGN_IDLE
6528.0,3400,0,17,16,REASSIGN_IDLE
6544.0,3410,0,17,16,REASSIGN_IDLE
6560.0,3420,0,17,16,REASSIGN_IDLE
6576.0,3435,0,17,16,REASSIGN_IDLE
6592.0,3440,0,17,16,REASSIGN_IDLE
6608.0,3445,0,17,16,REASSIGN_IDLE
6624.0,3465,0,17,16,REASSIGN_IDLE
6640.0,3475,0,17,16,REASSIGN_IDLE
6656.0,3480,0,17,16,REASSIGN_IDLE
6672.0,3490,0,17,16,REASSIGN_IDLE
6688.0,3505,0,17,16,REASSIGN_IDLE
6704.0,3515,0,17,16,REASSIGN_IDLE
6720.0,3520,0,17,16,REASSIGN_IDLE
6736.0,3530,0,17,16,REASSIGN_IDLE
6752.0,3550,0,17,16,REASSIGN_IDLE
6768.0,3555,0,17,16,REASSIGN_IDLE
6784.0,3560,0,17,16,REASSIGN_IDLE
6800.0,3570,0,17,16,REASSIGN_IDLE
6816.0,3590,0,17,16,REASSIGN_IDLE
6832.0,3590,0,17,16,REASSIGN_IDLE
6848.0,3605,0,17,16,REASSIGN_IDLE
6864.0,3620,0,17,16,REASSIGN_IDLE
6880.0,3630,0,17,16,REASSIGN_IDLE
6896.0,3635,0,17,16,REASSIGN_IDLE
6912.0,3645,0,17,16,REASSIGN_IDLE
6928.0,3660,0,17,16,REASSIGN_IDLE
6944.0,3665,0,17,16,REASSIGN_IDLE
6960.0,3680,0,17,16,REASSIGN_IDLE
6976.0,3690,0,17,16,REASSIGN_IDLE
6992.0,3700,0,17,16,REASSIGN_IDLE
7008.0,3710,0,17,16,REASSIGN_IDLE
7024.0,3715,0,17,16,REASSIGN_IDLE
7040.0,3725,0,17,16,REASSIGN_IDLE
7056.0,3735,0,17,16,REASSIGN_IDLE
7072.0,3750,0,17,16,REASSIGN_IDLE
7088.0,3760,0,17,16,REASSIGN_IDLE
7104.0,3765,0,17,16,REASSIGN_IDLE
7120.0,3790,0,17,16,REASSIGN_IDLE
7136.0,3795,0,17,16,REASSIGN_IDLE
7152.0,3795,0,17,16,REASSIGN_IDLE
7168.0,3810,0,17,16,REASSIGN_IDLE
7184.0,3825,0,17,16,REASSIGN_IDLE
7200.0,3830,0,17,16,REASSIGN_IDLE
7216.0,3845,0,17,16,REASSIGN_IDLE
7232.0,3850,0,17,16,REASSIGN_IDLE
7248.0,3870,0,17,16,REASSIGN_IDLE
7264.0,3870,0,17,16,REASSIGN_IDLE
7280.0,3880,0,17,16,REASSIGN_IDLE
7296.0,3900,0,17,16,REASSIGN_IDLE
7312.0,3900,0,17,16,REASSIGN_IDLE
7328.0,3910,0,17,16,REASSIGN_IDLE
7344.0,3925,0,17,16,REASSIGN_IDLE
7360.0,3930,0,17,16,REASSIGN_IDLE
7376.0,3945,0,17,16,REASSIGN_IDLE
7392.0,3955,0,17,16,REASSIGN_IDLE
7408.0,3970,0,17,16,REASSIGN_IDLE
7424.0,3975,0,17,16,REASSIGN_IDLE
7440.0,3980,0,17,16,REASSIGN_IDLE
7456.0,3995,0,17,16,REASSIGN_IDLE
7472.0,4005,0,17,16,REASSIGN_IDLE
7488.0,4015,0,17,16,REASSIGN_IDLE
7504.0,4030,0,17,16,REASSIGN_IDLE
7520.0,4040,0,17,16,REASSIGN_IDLE
7536.0,4045,0,17,16,REASSIGN_IDLE
7552.0,4055,0,17,16,REASSIGN_IDLE
7568.0,4070,0,17,16,REASSIGN_IDLE
7584.0,4080,0,17,16,REASSIGN_IDLE
7600.0,4080,0,17,16,REASSIGN_IDLE
7616.0,4110,0,17,16,REASSIGN_IDLE
7632.0,4110,0,17,16,REASSIGN_IDLE
7648.0,4120,0,17,16,REASSIGN_IDLE
7664.0,4135,0,17,16,REASSIGN_IDLE
7680.0,4140,0,17,16,REASSIGN_IDLE
7696.0,4150,0,17,16,REASSIGN_IDLE
7712.0,4155,0,17,16,REASSIGN_IDLE
7728.0,4175,0,17,16,REASSIGN_IDLE
7744.0,4185,0,17,16,REASSIGN_IDLE
7760.0,4195,0,17,16,REASSIGN_IDLE
7776.0,4205,0,17,16,REASSIGN_IDLE
7792.0,4215,0,17,16,REASSIGN_IDLE
7808.0,4220,0,17,16,REASSIGN_IDLE
7824.0,4230,0,17,16,REASSIGN_IDLE
7840.0,4245,0,17,16,REASSIGN_IDLE
7856.0,4250,0,17,16,REASSIGN_IDLE
7872.0,4265,0,17,16,REASSIGN_IDLE
7888.0,4275,0,17,16,REASSIGN_IDLE
7904.0,4285,0,17,16,REASSIGN_IDLE
