Time,Minerals,Vespene,Supply,Marauders,Action_ID
6296.0,45,664,14,0,7
6298.0,45,664,14,0,2
6300.0,45,664,14,0,4
6302.0,45,664,14,0,2
6304.0,45,664,14,0,3
6306.0,45,664,14,0,3
6308.0,45,664,14,0,6
6310.0,45,664,14,0,6
6312.0,45,664,14,0,3
6314.0,45,664,14,0,6
6316.0,45,664,14,0,4
6318.0,45,664,14,0,2
6320.0,45,664,14,0,2
6322.0,45,664,14,0,5
6324.0,45,668,14,0,0
6326.0,45,668,14,0,6
6328.0,45,668,14,0,4
6330.0,45,668,14,0,6
6332.0,45,668,14,0,2
6334.0,45,668,14,0,4
6336.0,45,668,14,0,4
6338.0,45,668,14,0,5
6340.0,45,668,14,0,2
6342.0,45,668,14,0,3
6344.0,45,668,14,0,5
6346.0,45,668,14,0,2
6348.0,45,668,14,0,0
6350.0,45,668,14,0,6
6352.0,45,668,14,0,5
6354.0,45,668,14,0,5
6356.0,45,668,14,0,4
6358.0,45,672,14,0,3
6360.0,45,672,14,0,2
6362.0,45,672,14,0,7
6364.0,45,672,14,0,4
6366.0,45,672,14,0,7
6368.0,45,672,14,0,0
6370.0,45,672,14,0,5
6372.0,45,672,14,0,7
6374.0,45,672,14,0,5
6376.0,45,672,14,0,1
6378.0,45,672,14,0,3
6380.0,45,672,14,0,0
6382.0,45,672,14,0,3
6384.0,45,672,14,0,7
6386.0,45,672,14,0,2
6388.0,45,672,14,0,2
6390.0,45,672,14,0,2
6392.0,45,676,14,0,3
6394.0,45,676,14,0,5
6396.0,45,676,14,0,3
6398.0,45,676,14,0,4
6400.0,45,676,14,0,0
6402.0,45,676,14,0,2
6404.0,45,676,14,0,1
6406.0,45,676,14,0,7
6408.0,45,676,14,0,1
6410.0,45,676,14,0,5
6412.0,45,676,14,0,3
6414.0,45,676,14,0,1
6416.0,45,676,14,0,2
6418.0,45,676,14,0,0
6420.0,45,676,14,0,5
6422.0,45,676,14,0,7
6424.0,45,680,14,0,4
6426.0,45,680,14,0,2
6428.0,45,680,14,0,1
6430.0,45,680,14,0,6
6432.0,45,680,14,0,1
6434.0,45,680,14,0,0
6436.0,45,680,14,0,4
6438.0,45,680,14,0,2
6440.0,45,680,14,0,6
6442.0,45,680,14,0,2
6444.0,45,680,14,0,2
6446.0,45,680,14,0,6
6448.0,45,680,14,0,0
6450.0,45,680,14,0,5
6452.0,45,680,14,0,0
6454.0,45,680,14,0,2
6456.0,45,684,14,0,6
6458.0,45,684,14,0,7
6460.0,45,684,14,0,7
6462.0,45,684,14,0,3
6464.0,45,684,14,0,1
6466.0,45,684,14,0,7
6468.0,45,684,14,0,3
6470.0,45,684,14,0,6
6472.0,45,684,14,0,5
6474.0,45,684,14,0,3
6476.0,45,684,14,0,6
6478.0,45,684,14,0,0
6480.0,45,684,14,0,3
6482.0,45,684,14,0,6
6484.0,45,684,14,0,2
6486.0,45,684,14,0,6
6488.0,45,684,14,0,6
6490.0,45,688,14,0,5
6492.0,45,688,14,0,5
6494.0,45,688,14,0,1
6496.0,45,688,14,0,1
6498.0,45,688,14,0,5
6500.0,45,688,14,0,3
6502.0,45,688,14,0,5
6504.0,45,688,14,0,2
6506.0,45,688,14,0,4
6508.0,45,688,14,0,6
6510.0,45,688,14,0,4
6512.0,45,688,14,0,0
6514.0,45,688,14,0,4
6516.0,45,688,14,0,6
6518.0,45,688,14,0,0
6520.0,45,688,14,0,6
6522.0,45,688,14,0,0
6524.0,45,692,14,0,5
6526.0,45,692,14,0,1
6528.0,45,692,14,0,4
6530.0,45,692,14,0,4
6532.0,45,692,14,0,2
6534.0,45,692,14,0,1
6536.0,45,692,14,0,6
6538.0,45,692,14,0,2
6540.0,45,692,14,0,7
6542.0,45,692,14,0,5
6544.0,45,692,14,0,3
6546.0,45,692,14,0,3
6548.0,45,692,14,0,4
6550.0,45,692,14,0,7
6552.0,45,692,14,0,3
6554.0,45,692,14,0,7
6556.0,45,692,14,0,0
6558.0,45,692,14,0,6
6560.0,45,692,14,0,0
6562.0,45,692,14,0,7
6564.0,45,692,14,0,0
6566.0,45,692,14,0,5
6568.0,45,692,14,0,5
6570.0,45,692,14,0,4
6572.0,45,692,14,0,1
6574.0,45,692,14,0,2
6576.0,45,692,14,0,7
6578.0,45,692,14,0,1
6580.0,45,692,14,0,0
6582.0,45,692,14,0,1
6584.0,45,692,14,0,4
6586.0,45,692,14,0,7
6588.0,45,696,14,0,6
6590.0,45,696,14,0,5
6592.0,45,700,14,0,6
6594.0,45,700,14,0,5
6596.0,45,700,14,0,3
6598.0,45,700,14,0,6
6600.0,45,700,14,0,6
6602.0,45,700,14,0,0
6604.0,45,700,14,0,3
6606.0,45,700,14,0,3
6608.0,45,700,14,0,1
6610.0,45,700,14,0,1
6612.0,45,700,14,0,1
6614.0,45,700,14,0,6
6616.0,45,700,14,0,0
6618.0,45,700,14,0,1
6620.0,45,700,14,0,4
6622.0,45,704,14,0,3
6624.0,45,704,14,0,3
6626.0,45,704,14,0,1
6628.0,45,704,14,0,7
6630.0,45,704,14,0,1
6632.0,45,704,14,0,3
6634.0,45,704,14,0,1
6636.0,45,704,14,0,6
6638.0,45,704,14,0,6
6640.0,45,704,14,0,6
6642.0,45,704,14,0,4
6644.0,45,704,14,0,2
6646.0,45,704,14,0,1
6648.0,45,704,14,0,3
6650.0,45,704,14,0,7
6652.0,45,704,14,0,2
6654.0,45,704,14,0,6
6656.0,45,708,14,0,4
6658.0,45,708,14,0,7
6660.0,45,708,14,0,2
6662.0,45,708,14,0,2
6664.0,45,708,14,0,5
6666.0,45,708,14,0,2
6668.0,45,708,14,0,5
6670.0,45,708,14,0,1
6672.0,45,708,14,0,0
6674.0,45,708,14,0,1
6676.0,45,708,14,0,3
6678.0,45,708,14,0,7
6680.0,45,708,14,0,7
6682.0,45,708,14,0,0
6684.0,45,708,14,0,4
6686.0,45,708,14,0,5
6688.0,45,712,14,0,5
6690.0,45,712,14,0,4
6692.0,45,712,14,0,4
6694.0,45,712,14,0,6
6696.0,45,712,14,0,6
6698.0,45,712,14,0,7
6700.0,45,712,14,0,1
6702.0,45,712,14,0,5
6704.0,45,712,14,0,0
6706.0,45,712,14,0,0
6708.0,45,712,14,0,7
6710.0,45,712,14,0,3
6712.0,45,712,14,0,4
6714.0,45,712,14,0,7
6716.0,45,712,14,0,6
6718.0,45,712,14,0,7
6720.0,45,716,14,0,7
6722.0,45,716,14,0,2
6724.0,45,716,14,0,1
6726.0,45,716,14,0,0
6728.0,45,716,14,0,5
6730.0,45,716,14,0,5
6732.0,45,716,14,0,0
6734.0,45,716,14,0,5
6736.0,45,716,14,0,7
6738.0,45,716,14,0,3
6740.0,45,716,14,0,2
6742.0,45,716,14,0,7
6744.0,45,716,14,0,1
6746.0,45,716,14,0,1
6748.0,45,716,14,0,0
6750.0,45,716,14,0,1
6752.0,45,716,14,0,2
6754.0,45,720,14,0,6
6756.0,45,720,14,0,1
6758.0,45,720,14,0,5
6760.0,45,720,14,0,2
6762.0,45,720,14,0,1
6764.0,45,720,14,0,1
6766.0,45,720,14,0,3
6768.0,45,720,14,0,6
6770.0,45,720,14,0,0
6772.0,45,720,14,0,7
6774.0,45,720,14,0,5
6776.0,45,720,14,0,6
6778.0,45,720,14,0,7
6780.0,45,720,14,0,6
6782.0,45,720,14,0,4
6784.0,45,720,14,0,0
6786.0,45,724,14,0,3
6788.0,45,724,14,0,1
6790.0,45,724,14,0,2
6792.0,45,724,14,0,4
6794.0,45,724,14,0,3
6796.0,45,724,14,0,2
6798.0,45,724,14,0,3
6800.0,45,724,14,0,3
6802.0,45,724,14,0,1
6804.0,45,724,14,0,2
6806.0,45,724,14,0,2
6808.0,45,724,14,0,4
6810.0,45,724,14,0,5
6812.0,45,724,14,0,7
6814.0,45,724,14,0,0
6816.0,45,724,14,0,4
6818.0,45,724,14,0,1
6820.0,45,728,14,0,3
6822.0,45,728,14,0,3
6824.0,45,728,14,0,1
6826.0,45,728,14,0,1
6828.0,45,728,14,0,1
6830.0,45,728,14,0,1
6832.0,45,728,14,0,7
6834.0,45,728,14,0,2
6836.0,45,728,14,0,7
6838.0,45,728,14,0,2
6840.0,45,728,14,0,0
6842.0,45,728,14,0,6
6844.0,45,728,14,0,3
6846.0,45,728,14,0,5
6848.0,45,728,14,0,0
6850.0,45,728,14,0,1
6852.0,45,728,14,0,4
6854.0,45,732,14,0,5
6856.0,45,732,14,0,2
6858.0,45,732,14,0,1
6860.0,45,732,14,0,7
6862.0,45,732,14,0,2
6864.0,45,732,14,0,0
6866.0,45,732,14,0,1
6868.0,45,732,14,0,0
6870.0,45,732,14,0,7
6872.0,45,732,14,0,1
6874.0,45,732,14,0,2
6876.0,45,732,14,0,3
6878.0,45,732,14,0,7
6880.0,45,732,14,0,0
6882.0,45,732,14,0,7
6884.0,45,732,14,0,7
6886.0,45,736,14,0,7
6888.0,45,736,14,0,0
6890.0,45,736,14,0,5
6892.0,45,736,14,0,6
6894.0,45,736,14,0,0
6896.0,45,736,14,0,0
6898.0,45,736,14,0,7
6900.0,45,736,14,0,2
6902.0,45,736,14,0,1
6904.0,45,736,14,0,3
6906.0,45,736,14,0,0
6908.0,45,736,14,0,5
6910.0,45,736,14,0,3
6912.0,45,736,14,0,7
6914.0,45,736,14,0,7
6916.0,45,736,14,0,0
6918.0,45,740,14,0,6
6920.0,45,740,14,0,6
6922.0,45,740,14,0,2
6924.0,45,740,14,0,6
6926.0,45,740,14,0,1
6928.0,45,740,14,0,4
6930.0,45,740,14,0,0
6932.0,45,740,14,0,7
6934.0,45,740,14,0,0
6936.0,45,740,14,0,6
6938.0,45,740,14,0,3
6940.0,45,740,14,0,5
6942.0,45,740,14,0,3
6944.0,45,740,14,0,1
6946.0,45,740,14,0,1
6948.0,45,740,14,0,0
6950.0,45,740,14,0,1
6952.0,45,744,14,0,1
6954.0,45,744,14,0,1
6956.0,45,744,14,0,5
6958.0,45,744,14,0,1
6960.0,45,744,14,0,0
6962.0,45,744,14,0,1
6964.0,45,744,14,0,0
6966.0,45,744,14,0,7
6968.0,45,744,14,0,3
6970.0,45,744,14,0,1
6972.0,45,744,14,0,5
6974.0,45,744,14,0,0
6976.0,45,744,14,0,1
6978.0,45,744,14,0,2
6980.0,45,744,14,0,4
6982.0,45,744,14,0,3
6984.0,45,744,14,0,6
6986.0,45,744,14,0,0
6988.0,45,744,14,0,0
6990.0,45,744,14,0,0
6992.0,45,744,14,0,4
6994.0,45,744,14,0,4
6996.0,45,744,14,0,0
6998.0,45,744,14,0,6
7000.0,45,744,14,0,0
7002.0,45,744,14,0,6
7004.0,45,744,14,0,1
7006.0,45,744,14,0,0
7008.0,45,744,14,0,2
7010.0,45,744,14,0,5
7012.0,45,744,14,0,1
7014.0,45,744,14,0,5
7016.0,45,744,14,0,4
7018.0,45,748,14,0,3
7020.0,45,748,14,0,5
7022.0,45,748,14,0,6
7024.0,45,748,14,0,7
7026.0,45,748,14,0,6
7028.0,45,752,14,0,1
7030.0,45,752,14,0,3
7032.0,45,752,14,0,6
7034.0,45,752,14,0,3
7036.0,45,752,14,0,2
7038.0,45,752,14,0,3
7040.0,45,752,14,0,4
7042.0,45,752,14,0,2
7044.0,45,752,14,0,1
7046.0,45,752,14,0,2
7048.0,45,752,14,0,6
7050.0,45,756,14,0,6
7052.0,45,756,14,0,0
7054.0,45,756,14,0,5
7056.0,45,756,14,0,0
7058.0,45,756,14,0,5
7060.0,45,756,14,0,2
7062.0,45,756,14,0,7
7064.0,45,756,14,0,4
7066.0,45,756,14,0,7
7068.0,45,756,14,0,3
7070.0,45,756,14,0,2
7072.0,45,756,14,0,2
7074.0,45,756,14,0,5
7076.0,45,756,14,0,5
7078.0,45,756,14,0,1
7080.0,45,756,14,0,1
7082.0,45,756,14,0,6
7084.0,45,760,14,0,3
7086.0,45,760,14,0,3
7088.0,45,760,14,0,5
7090.0,45,760,14,0,6
7092.0,45,760,14,0,3
7094.0,45,760,14,0,0
7096.0,45,760,14,0,7
7098.0,45,760,14,0,5
7100.0,45,760,14,0,5
7102.0,45,760,14,0,7
7104.0,45,760,14,0,3
7106.0,45,760,14,0,4
7108.0,45,760,14,0,2
7110.0,45,760,14,0,4
7112.0,45,760,14,0,3
7114.0,45,760,14,0,5
7116.0,45,760,14,0,0
7118.0,45,760,14,0,3
7120.0,45,760,14,0,2
7122.0,45,760,14,0,1
7124.0,45,760,14,0,4
7126.0,45,760,14,0,2
7128.0,45,760,14,0,5
7130.0,45,760,14,0,5
7132.0,45,760,14,0,6
7134.0,45,760,14,0,0
7136.0,45,760,14,0,7
7138.0,45,760,14,0,1
7140.0,45,760,14,0,4
7142.0,45,760,14,0,3
7144.0,45,760,14,0,0
