Time,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID
12640.0,6390,0,12,16,0,42
12656.0,6400,0,12,16,0,41
12672.0,6400,0,12,16,0,42
12688.0,6415,0,12,16,0,42
12704.0,6420,0,12,16,0,42
12720.0,6425,0,12,16,0,42
12736.0,6440,0,12,16,0,42
12752.0,6440,0,12,16,0,42
12768.0,6450,0,12,16,0,41
12784.0,6460,0,12,16,0,42
12800.0,6470,0,12,16,0,42
12816.0,6480,0,12,16,0,42
12832.0,6480,0,12,16,0,42
12848.0,6495,0,12,16,0,41
12864.0,6500,0,12,16,0,41
12880.0,6505,0,12,16,0,42
12896.0,6510,0,12,16,0,42
12912.0,6530,0,12,16,0,41
12928.0,6535,0,12,16,0,42
12944.0,6540,0,12,16,0,42
12960.0,6550,0,12,16,0,42
12976.0,6560,0,12,16,0,41
12992.0,6560,0,12,16,0,41
13008.0,6570,0,12,16,0,42
13024.0,6585,0,12,16,0,41
13040.0,6590,0,12,16,0,42
13056.0,6600,0,12,16,0,41
13072.0,6605,0,12,16,0,42
13088.0,6615,0,12,16,0,42
13104.0,6620,0,12,16,0,41
13120.0,6630,0,12,16,0,41
13136.0,6640,0,12,16,0,42
13152.0,6645,0,12,16,0,41
13168.0,6655,0,12,16,0,41
13184.0,6665,0,12,16,0,42
13200.0,6670,0,12,16,0,42
13216.0,6675,0,12,16,0,42
13232.0,6690,0,12,16,0,42
13248.0,6695,0,12,16,0,42
13264.0,6700,0,12,16,0,42
13280.0,6720,0,12,16,0,42
13296.0,6720,0,12,16,0,42
13312.0,6725,0,12,16,0,42
13328.0,6730,0,12,16,0,42
13344.0,6745,0,12,16,0,41
13360.0,6750,0,12,16,0,41
13376.0,6755,0,12,16,0,42
13392.0,6770,0,12,16,0,41
13408.0,6775,0,12,16,0,42
13424.0,6785,0,12,16,0,41
13440.0,6785,0,12,16,0,42
13456.0,6795,0,12,16,0,41
13472.0,6810,0,12,16,0,41
13488.0,6810,0,12,16,0,41
13504.0,6820,0,12,16,0,42
13520.0,6835,0,12,16,0,42
13536.0,6840,0,12,16,0,41
13552.0,6845,0,12,16,0,41
13568.0,6855,0,12,16,0,41
13584.0,6860,0,12,16,0,41
13600.0,6875,0,12,16,0,42
13616.0,6880,0,12,16,0,42
13632.0,6890,0,12,16,0,42
13648.0,6895,0,12,16,0,42
13664.0,6910,0,12,16,0,42
13680.0,6915,0,12,16,0,41
13696.0,6920,0,12,16,0,41
13712.0,6930,0,12,16,0,42
13728.0,6935,0,12,16,0,42
13744.0,6945,0,12,16,0,41
13760.0,6950,0,12,16,0,42
13776.0,6960,0,12,16,0,41
13792.0,6975,0,12,16,0,41
13808.0,6975,0,12,16,0,42
13824.0,6985,0,12,16,0,42
13840.0,6995,0,12,16,0,42
13856.0,7000,0,12,16,0,41
13872.0,7000,0,12,16,0,41
13888.0,7020,0,12,16,0,41
13904.0,7030,0,12,16,0,41
13920.0,7035,0,12,16,0,42
13936.0,7045,0,12,16,0,42
13952.0,7045,0,12,16,0,41
13968.0,7060,0,12,16,0,42
13984.0,7060,0,12,16,0,41
14000.0,7070,0,12,16,0,41
14016.0,7085,0,12,16,0,42
14032.0,7090,0,12,16,0,42
14048.0,7100,0,12,16,0,41
14064.0,7105,0,12,16,0,42
14080.0,7110,0,12,16,0,41
14096.0,7115,0,12,16,0,41
14112.0,7130,0,12,16,0,42
14128.0,7135,0,12,16,0,41
14144.0,7145,0,12,16,0,41
14160.0,7160,0,12,16,0,42
14176.0,7165,0,12,16,0,42
14192.0,7165,0,12,16,0,41
14208.0,7185,0,12,16,0,41
14224.0,7190,0,12,16,0,41
14240.0,7190,0,12,16,0,42
14256.0,7205,0,12,16,0,42
14272.0,7210,0,12,16,0,42
14288.0,7225,0,12,16,0,41
14304.0,7225,0,12,16,0,41
14320.0,7235,0,12,16,0,42
14336.0,7250,0,12,16,0,41
14352.0,7250,0,12,16,0,41
14368.0,7260,0,12,16,0,41
14384.0,7270,0,12,16,0,42
14400.0,7275,0,12,16,0,42
14416.0,7280,0,12,16,0,41
14432.0,7295,0,12,16,0,41
14448.0,7300,0,12,16,0,42
14464.0,7305,0,12,16,0,41
14480.0,7320,0,12,16,0,41
14496.0,7320,0,12,16,0,42
14512.0,7330,0,12,16,0,41
14528.0,7335,0,12,16,0,42
14544.0,7350,0,12,16,0,42
14560.0,7355,0,12,16,0,41
14576.0,7360,0,12,16,0,41
14592.0,7375,0,12,16,0,42
14608.0,7375,0,12,16,0,41
14624.0,7385,0,12,16,0,42
14640.0,7390,0,12,16,0,41
14656.0,7410,0,12,16,0,42
14672.0,7415,0,12,16,0,42
14688.0,7420,0,12,16,0,42
14704.0,7435,0,12,16,0,41
14720.0,7440,0,12,16,0,41
14736.0,7440,0,12,16,0,42
14752.0,7455,0,12,16,0,42
14768.0,7465,0,12,16,0,42
14784.0,7470,0,12,16,0,42
14800.0,7480,0,12,16,0,42
14816.0,7485,0,12,16,0,41
14832.0,7495,0,12,16,0,41
14848.0,7500,0,12,16,0,41
14864.0,7510,0,12,16,0,42
14880.0,7520,0,12,16,0,42
14896.0,7525,0,12,16,0,41
14912.0,7535,0,12,16,0,42
14928.0,7540,0,12,16,0,42
14944.0,7550,0,12,16,0,42
14960.0,7555,0,12,16,0,42
14976.0,7565,0,12,16,0,42
14992.0,7575,0,12,16,0,41
15008.0,7580,0,12,16,0,41
15024.0,7595,0,12,16,0,42
15040.0,7600,0,12,16,0,41
15056.0,7605,0,12,16,0,41
15072.0,7610,0,12,16,0,41
15088.0,7625,0,12,16,0,41
15104.0,7630,0,12,16,0,42
15120.0,7635,0,12,16,0,41
15136.0,7650,0,12,16,0,42
15152.0,7650,0,12,16,0,42
15168.0,7665,0,12,16,0,41
15184.0,7665,0,12,16,0,42
15200.0,7675,0,12,16,0,41
15216.0,7690,0,12,16,0,41
15232.0,7690,0,12,16,0,42
15248.0,7705,0,12,16,0,42
15264.0,7715,0,12,16,0,41
15280.0,7720,0,12,16,0,41
15296.0,7720,0,12,16,0,41
15312.0,7735,0,12,16,0,41
15328.0,7745,0,12,16,0,42
15344.0,7750,0,12,16,0,42
15360.0,7760,0,12,16,0,42
15376.0,7770,0,12,16,0,41
15392.0,7775,0,12,16,0,41
15408.0,7790,0,12,16,0,41
15424.0,7795,0,12,16,0,42
15440.0,7800,0,12,16,0,42
15456.0,7810,0,12,16,0,42
15472.0,7815,0,12,16,0,42
15488.0,7825,0,12,16,0,41
15504.0,7830,0,12,16,0,42
15520.0,7840,0,12,16,0,41
15536.0,7855,0,12,16,0,41
15552.0,7855,0,12,16,0,41
15568.0,7865,0,12,16,0,41
15584.0,7875,0,12,16,0,41
15600.0,7880,0,12,16,0,41
15616.0,7880,0,12,16,0,42
15632.0,7900,0,12,16,0,42
15648.0,7905,0,12,16,0,42
15664.0,7910,0,12,16,0,41
15680.0,7925,0,12,16,0,42
15696.0,7925,0,12,16,0,41
15712.0,7935,0,12,16,0,41
15728.0,7940,0,12,16,0,41
15744.0,7950,0,12,16,0,41
15760.0,7965,0,12,16,0,41
15776.0,7965,0,12,16,0,42
15792.0,7980,0,12,16,0,42
15808.0,7985,0,12,16,0,42
15824.0,7995,0,12,16,0,41
15840.0,7995,0,12,16,0,41
15856.0,8010,0,12,16,0,42
15872.0,8020,0,12,16,0,42
15888.0,8025,0,12,16,0,41
15904.0,8040,0,12,16,0,41
15920.0,8045,0,12,16,0,41
15936.0,8045,0,12,16,0,41
15952.0,8065,0,12,16,0,41
15968.0,8070,0,12,16,0,42
15984.0,8070,0,12,16,0,42
16000.0,8085,0,12,16,0,42
16016.0,8090,0,12,16,0,42
16032.0,8100,0,12,16,0,41
16048.0,8105,0,12,16,0,42
16064.0,8115,0,12,16,0,41
16080.0,8125,0,12,16,0,42
16096.0,8130,0,12,16,0,41
16112.0,8140,0,12,16,0,41
16128.0,8150,0,12,16,0,42
16144.0,8155,0,12,16,0,42
16160.0,8160,0,12,16,0,42
16176.0,8175,0,12,16,0,42
16192.0,8180,0,12,16,0,41
16208.0,8185,0,12,16,0,41
16224.0,8200,0,12,16,0,42
16240.0,8200,0,12,16,0,41
16256.0,8210,0,12,16,0,41
16272.0,8215,0,12,16,0,42
16288.0,8230,0,12,16,0,41
16304.0,8235,0,12,16,0,41
16320.0,8245,0,12,16,0,42
16336.0,8255,0,12,16,0,42
16352.0,8255,0,12,16,0,42
16368.0,8270,0,12,16,0,41
