Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID,P_ID
5200.0,1340,426,23,0,3,34,15
5216.0,1360,426,23,0,3,34,15
5232.0,1375,430,23,0,3,34,15
5248.0,1380,430,23,0,3,18,15
5264.0,1395,434,23,0,3,34,15
5280.0,1415,434,23,0,3,18,15
5296.0,1415,438,23,0,3,34,99
5312.0,1385,413,23,0,3,34,15
5328.0,1390,417,23,0,3,18,15
5344.0,1400,417,23,0,3,34,15
5360.0,1420,421,23,0,3,18,60
5376.0,1430,421,23,0,3,18,11
5392.0,1435,425,23,0,3,34,56
5408.0,1455,425,23,0,3,45,57
5424.0,1470,429,23,0,3,34,19
5440.0,1475,429,23,0,3,34,15
5456.0,1485,429,23,0,3,45,8
5472.0,1505,433,23,0,3,18,57
5488.0,1520,433,23,0,3,34,15
5504.0,1530,437,23,0,3,34,15
5520.0,1545,437,23,0,3,34,15
5536.0,1550,441,23,0,3,45,30
5552.0,1575,441,23,0,3,18,15
5568.0,1575,445,23,0,3,18,15
5584.0,1590,445,23,0,3,18,15
5600.0,1610,449,23,0,3,34,15
5616.0,1615,449,23,0,3,18,49
5632.0,1630,453,23,0,3,45,15
5648.0,1645,453,23,0,3,18,15
5664.0,1655,457,23,0,3,18,15
5680.0,1670,457,23,0,3,45,90
5696.0,1680,461,23,0,3,18,37
5712.0,1685,461,23,0,3,34,93
5728.0,1710,465,23,0,3,34,54
5744.0,1720,465,23,0,3,34,15
5760.0,1725,469,23,0,3,34,99
5776.0,1740,469,23,0,3,34,15
5792.0,1760,473,23,0,3,45,21
5808.0,1760,473,23,0,3,34,15
5824.0,1775,477,23,0,3,34,15
5840.0,1795,477,23,0,3,34,15
5856.0,1805,481,23,0,3,34,7
5872.0,1825,481,23,0,3,34,15
5888.0,1830,485,23,0,3,34,73
5904.0,1840,485,23,0,3,34,15
5920.0,1865,489,23,0,3,45,79
5936.0,1865,489,23,0,3,34,15
5952.0,1880,493,23,0,3,34,15
5968.0,1895,493,23,0,3,34,38
5984.0,1905,493,23,0,3,34,15
6000.0,1920,497,23,0,3,34,15
6016.0,1935,497,23,0,3,34,15
6032.0,1945,501,23,0,3,34,91
6048.0,1960,501,23,0,3,34,15
6064.0,1970,505,23,0,3,34,15
6080.0,1975,505,23,0,3,45,13
6096.0,1995,509,23,0,3,34,94
6112.0,2010,509,23,0,3,18,79
6128.0,2015,513,23,0,3,34,15
6144.0,2030,513,23,0,3,18,20
6160.0,2050,517,23,0,3,45,96
6176.0,2050,517,23,0,3,34,15
6192.0,2060,521,23,0,3,34,99
6208.0,2085,521,23,0,3,45,82
6224.0,2095,525,23,0,3,34,15
6240.0,2110,525,23,0,3,45,78
6256.0,2125,529,23,0,3,34,15
6272.0,2130,529,23,0,3,34,57
6288.0,2050,508,23,0,3,18,53
6304.0,2055,508,23,0,3,34,15
6320.0,2075,512,23,0,3,34,15
6336.0,2085,512,23,0,3,34,15
6352.0,2095,516,23,0,3,18,16
6368.0,2115,516,23,0,3,34,15
6384.0,2125,520,23,0,3,45,84
6400.0,2130,520,23,0,3,34,74
6416.0,2150,524,23,0,3,34,15
6432.0,2160,524,23,0,3,34,15
6448.0,2165,528,23,0,3,34,15
6464.0,2190,528,23,0,3,18,96
6480.0,2200,532,23,0,3,34,15
6496.0,2205,532,23,0,3,34,15
6512.0,2215,532,23,0,3,18,9
6528.0,2240,536,23,0,3,45,15
6544.0,2240,536,23,0,3,34,15
6560.0,2260,540,23,0,3,45,80
6576.0,2275,540,23,0,3,34,15
6592.0,2280,544,23,0,3,34,15
6608.0,2305,544,23,0,3,45,15
6624.0,2310,548,23,0,3,34,15
6640.0,2320,548,23,0,3,45,15
6656.0,2340,552,23,0,3,18,40
6672.0,2345,552,23,0,3,45,15
6688.0,2365,556,23,0,3,34,15
6704.0,2375,556,23,0,3,34,54
6720.0,2380,560,23,0,3,45,15
6736.0,2405,560,23,0,3,18,21
6752.0,2415,564,23,0,3,45,15
6768.0,2420,564,23,0,3,18,51
6784.0,2440,568,23,0,3,45,15
6800.0,2450,568,23,0,3,18,35
6816.0,2455,572,23,0,3,34,15
6832.0,2470,572,23,0,3,45,26
6848.0,2495,576,23,0,3,34,15
6864.0,2495,576,23,0,3,34,15
6880.0,2505,580,23,0,3,45,84
6896.0,2530,580,23,0,3,34,15
6912.0,2530,584,23,0,3,18,15
6928.0,2545,584,23,0,3,45,15
6944.0,2560,588,23,0,3,18,26
6960.0,2575,588,23,0,3,45,15
6976.0,2595,592,23,0,3,18,15
6992.0,2600,592,23,0,3,18,80
7008.0,2610,596,23,0,3,18,31
7024.0,2630,596,23,0,3,18,15
7040.0,2630,596,23,0,3,18,15
